,Make,Seller,YearOfProd,Mileage (km),Color,Fuel,FuelCinCity,Gearbox,EngineVol (cm3),Horsepower,Post-accident,Seats,Doors,Price
1377,Audi,Private person,2014,200000,Black,Diesel,5,,1968,163,0.0,5,4,11489.84
1378,Audi,Private person,2008,275000,Silver,Diesel,9,Automatic,2967,240,0.0,5,4,9683.97
1379,BMW,Private person,2005,303123,Silver,Diesel,9,,2993,,,5,5,5846.5
1380,Ford,Company,2022,5,White,Electric,,Automatic,,351,0.0,5,5,82054.18
1381,Jeep,Private person,2016,181000,White,Petrol+LPG,7,Manual,1368,140,0.0,5,5,14198.65
1382,Suzuki,Private person,2007,143564,Blue,Petrol,8,Manual,1328,92,,5,5,5169.3
1383,Opel,Private person,2010,188000,Black,Petrol+LPG,8,,1598,,,5,5,7223.48
1384,Volvo,Private person,2008,113197,Gray,Diesel,5,Manual,1560,109,,5,5,5395.03
1385,Dodge,Company,2018,118500,Black,Petrol,,Automatic,6417,492,0.0,5,2,42889.16
1386,Audi,Private person,2019,149999,Black,Diesel,"5,80",Automatic,1968,190,0.0,5,5,27087.58
1387,Citroën,Private person,2010,146384,Else,Petrol,"10,80",Manual,1587,109,0.0,5,5,6952.6
1388,Ford,Company,2022,1,Blue,Petrol,,Automatic,2999,288,0.0,5,4,85238.83
1389,Audi,Company,2020,61000,Black,Diesel,,Automatic,1968,190,0.0,5,5,41738.15
1390,Hyundai,Company,2018,110239,Red,Diesel,,Automatic,1995,185,,5,5,37900.68
1391,Peugeot,Company,2019,92406,White,Diesel,,Automatic,1598,180,,5,5,26839.73
1392,Volvo,Private person,2019,113500,White,Petrol,9,Automatic,1969,250,0.0,5,5,46275.4
1393,Fiat,Private person,2008,245000,Brown,,6,,1248,,,7,5,4266.37
1394,Ford,Private person,2015,190000,Else,Diesel,6,Manual,1560,115,0.0,5,5,11952.6
1395,Audi,Private person,2008,293000,Gray,Diesel,"7,20",,1968,170,,5,5,3386.0
1396,Mercedes-Benz,Company,2022,933,White,Electric,,Automatic,,408,0.0,5,5,85079.01
1397,Volkswagen,Private person,2003,288000,Else,Diesel,,,2460,174,,5,5,4650.11
1398,BMW,Private person,2011,310000,Blue,Petrol,"10,60",Automatic,2996,258,0.0,5,5,9932.05
1399,Chevrolet,Private person,2009,217100,Black,Petrol,,Automatic,3564,288,0.0,7,5,6207.67
1400,Jaguar,Private person,2019,53000,Black,Petrol,,Automatic,1997,300,,5,5,44018.06
1401,Lexus,Company,2021,15757,Silver,Hybrid,,Automatic,1987,152,0.0,,,36094.81
1402,BMW,Company,2018,108450,Gray,Diesel,5,Automatic,1995,190,,5,4,36094.81
1403,BMW,Company,2022,10,Black,Diesel,,Automatic,2993,286,0.0,5,4,157787.81
1404,Mercedes-Benz,Private person,2018,110000,Black,,11,,2999,,,5,,63205.42
1405,Toyota,Company,2019,24000,Silver,Petrol,,Manual,1197,116,0.0,5,5,17155.53
1406,Kia,Company,2021,22180,Red,Petrol,,Manual,1482,160,0.0,5,5,21873.59
1407,Renault,Private person,2012,162000,White,Petrol,"10,10",,1598,,0.0,5,5,7223.48
1408,Hyundai,Company,2023,8,Red,Petrol,,,1598,150,0.0,5,5,30451.47
1409,Peugeot,Private person,2012,132000,Silver,Diesel,4,,1400,,,5,5,3724.6
1410,Audi,Private person,2012,223789,Black,Diesel,5,Manual,1968,143,0.0,5,5,12392.78
1411,Audi,Company,2022,10,Blue,Electric,,Automatic,,204,0.0,5,5,70248.31
1412,Skoda,Private person,2013,126500,Blue,Diesel,5,Manual,1968,184,0.0,5,5,13250.56
1413,BMW,Company,2020,93505,Blue,Diesel,,Automatic,1995,190,0.0,5,5,37223.48
1414,Mercedes-Benz,Company,2022,7,Black,Petrol,,Automatic,3982,585,0.0,5,5,282094.81
1415,Hyundai,Private person,2012,135000,Gray,Petrol,6,Manual,1396,90,0.0,5,5,6704.29
1416,Skoda,Private person,2018,167500,Black,Diesel,,Automatic,1968,190,0.0,5,5,22545.37
1417,Audi,Private person,2006,218342,Black,Petrol,13,,1984,200,,5,4,5530.47
1418,Opel,Private person,2015,238000,Gray,Diesel,"7,20",Manual,1598,140,0.0,8,4,14854.4
1419,BMW,Private person,2017,55000,White,Diesel,"5,60",Automatic,1995,190,0.0,5,5,29345.37
1420,Ford,Private person,2012,230900,Blue,Diesel,7,,1997,163,,7,5,9006.77
1421,BMW,Company,2020,39900,White,Petrol,,Automatic,1998,184,0.0,5,5,24151.24
1422,BMW,Private person,2018,74000,Black,Diesel,5,,1995,150,0.0,5,5,20744.92
1423,Volvo,Private person,2019,170000,White,Diesel,5,Automatic,1969,190,0.0,5,5,26388.26
1424,Renault,Private person,2014,136000,Else,Diesel,3,,1461,,,5,5,9458.24
1425,Toyota,Private person,2014,38850,Black,Diesel,10,Automatic,2982,171,0.0,5,4,33860.05
1426,BMW,Private person,2008,269000,Blue,Diesel,"8,20",,1995,177,,5,5,6433.41
1427,Ford,Company,2022,1,Else,Petrol,,Automatic,2999,288,0.0,5,4,84961.17
1428,BMW,Company,2023,1,White,Diesel,,Automatic,2993,340,0.0,5,5,103137.7
1429,Ford,Private person,2011,217412,Else,Diesel,5,,1560,,,5,5,4717.83
1430,Toyota,Company,2020,28978,Brown,Petrol,,Manual,,,,5,5,22550.79
1431,Citroën,Private person,2013,170000,Gray,Petrol,5,,1199,82,,5,5,5169.3
1432,Volkswagen,Private person,2015,120400,Red,Diesel,4,Manual,1422,75,,5,5,6749.44
1433,Hyundai,Private person,2013,219300,Else,Diesel,7,Automatic,1685,136,0.0,5,5,9232.51
1434,Volkswagen,Private person,2001,242145,Blue,Diesel,6,Manual,1896,115,0.0,5,5,2686.23
1435,BMW,Private person,2018,65000,Blue,Petrol,8,Automatic,1998,252,,5,5,45812.64
1436,BMW,Private person,2007,210000,Gray,Petrol,13,Manual,2497,218,0.0,4,2,7426.64
1437,Seat,Company,2022,1,Red,Petrol,,Automatic,999,110,0.0,5,5,27067.72
1438,Porsche,Company,2020,66000,White,Petrol,,Automatic,2995,354,0.0,5,5,72212.19
1439,Audi,Private person,2019,140000,White,Diesel,5,,1968,204,,5,5,29344.92
1440,BMW,Private person,2012,180000,Black,,5,,1995,,,5,5,7200.9
1441,Skoda,Private person,2015,303538,Black,Diesel,4,Manual,1598,110,,5,5,7878.1
1442,Renault,Private person,2015,118000,Else,Petrol,6,,1197,130,,5,5,12392.78
1443,Mazda,Private person,2011,238600,Gray,Petrol,"9,10",,1999,150,0.0,5,5,6523.7
1444,Seat,Private person,2012,115000,White,Petrol,10,Manual,1984,211,0.0,5,5,8984.2
1445,Ford,Private person,2011,145008,Silver,Petrol,6,,1596,115,,5,5,6523.7
1446,Mercedes-Benz,Private person,2016,60000,White,Petrol,,Automatic,1595,156,0.0,5,4,24108.35
1447,Audi,Private person,2017,145000,White,Petrol,"8,10",,1984,220,,5,5,19548.53
1448,Skoda,Company,2018,154000,Red,Petrol+LPG,,Manual,999,75,0.0,5,5,7878.1
1449,Cupra,Company,2023,10,Gray,Petrol,,Automatic,1984,310,0.0,5,5,55017.83
1450,BMW,Company,2020,35500,Black,Petrol,,Automatic,4395,625,0.0,5,5,127313.77
1451,Volvo,Private person,2015,157000,Black,Petrol+LPG,,,2497,,,5,5,19164.79
1452,AlfaRomeo,Private person,2007,286649,Gray,,9,,2387,,,5,4,3363.43
1453,Jeep,Company,2022,10,Black,Petrol,7,,1469,130,0.0,5,5,32471.78
1454,Opel,Private person,2015,162000,Else,Petrol,8,,1364,,,5,5,8103.84
1455,Opel,Private person,2012,214000,White,Diesel,,,1956,,0.0,7,5,8781.04
1456,Peugeot,Private person,2014,131855,Black,,4,,1560,,,5,5,8239.28
1457,BMW,Private person,2000,339000,Black,Diesel,9,,2926,193,,5,5,2708.8
1458,Mitsubishi,Private person,2020,60000,Else,Petrol+LPG,,,1998,,,7,5,23702.03
1459,Lexus,Private person,2006,298000,Black,Petrol,11,,2500,208,0.0,5,4,8329.57
1460,Kia,Private person,2014,180000,Silver,,,,1591,,,5,5,9706.55
1461,Audi,Private person,2015,119000,Red,,5,,1968,,,5,5,20767.49
1462,Mercedes-Benz,Company,2018,25000,Else,Petrol,,,1991,245,,,5,45124.15
1463,Volkswagen,Private person,2017,80000,Gray,,9,,1984,,,5,5,29796.84
1464,Cupra,Company,2023,10,Gray,Petrol,,Automatic,1984,300,0.0,5,5,42722.12
1465,Audi,Company,2019,36999,White,Petrol,,Automatic,1984,150,0.0,5,4,32257.34
1466,Mercedes-Benz,Private person,2017,79200,White,Diesel,"8,40",,1996,211,,8,4,26839.73
1467,Toyota,Private person,2020,35000,Else,Hybrid,,Automatic,2487,177,0.0,5,5,34311.51
1468,Mitsubishi,Private person,2009,182000,Gray,Petrol+LPG,10,,1798,143,,5,5,5304.74
1469,Kia,Private person,2016,88300,Black,Petrol,,,1998,,,5,5,11173.81
1470,Nissan,Company,2010,195000,White,Petrol,7,,1598,116,0.0,5,5,8239.28
1471,Ford,Company,2018,28074,White,Petrol,,Manual,998,125,0.0,5,5,18036.12
1472,Toyota,Private person,2005,188400,Gray,,8,,1995,,,5,5,5395.03
1473,Subaru,Company,2021,14400,Gray,Petrol,,Automatic,1995,150,,5,5,22550.79
1474,BMW,Company,2017,142110,Black,Diesel,,Automatic,1995,190,0.0,5,5,26862.3
1475,Ford,Private person,2010,219000,White,Diesel,7,,1997,,0.0,5,5,9006.77
1476,Toyota,Private person,2012,256000,Silver,Petrol+LPG,5,Manual,998,69,0.0,5,5,4492.1
1477,Kia,Company,2015,145000,Gray,Diesel,,Automatic,1995,185,0.0,5,5,14198.65
1478,Skoda,Company,2023,5,Blue,Diesel,,Automatic,1968,200,0.0,5,5,43273.14
1479,Nissan,Private person,2006,99789,Gray,,7,,1240,,,5,3,2099.32
1480,BMW,Company,2023,1,Gray,Diesel,9,Automatic,1995,190,0.0,5,5,63092.55
1481,Nissan,Company,2020,32100,Else,Diesel,,Automatic,1461,115,,5,5,21196.39
1482,Audi,Company,2023,5,Black,Petrol,"8,90",Automatic,1984,265,0.0,5,5,59702.93
1483,Chevrolet,Private person,2007,151000,Blue,Petrol,12,Manual,2405,136,,5,5,4063.21
1484,Mercedes-Benz,Company,2023,1,White,Petrol,,Automatic,1999,204,0.0,5,5,55079.01
1485,Toyota,Company,2019,58128,White,Petrol,,Automatic,1798,98,0.0,5,5,26139.95
1486,Mercedes-Benz,Private person,2017,134504,Red,Diesel,,Automatic,2143,163,0.0,6,4,27737.47
1487,BMW,Private person,2007,251000,Gray,Diesel,"7,70",Automatic,1995,163,0.0,5,5,9232.51
1488,Mercedes-Benz,Company,2017,32797,White,Petrol,9,Automatic,1991,184,,5,5,29322.8
1489,Volkswagen,Private person,2009,102600,Silver,Petrol,10,,1390,150,,5,5,7200.9
1490,Nissan,Private person,1991,227000,Black,Diesel,,Manual,2826,116,0.0,2,3,10158.01
1491,Mercedes-Benz,Company,2011,47600,White,Petrol,,Automatic,5461,544,0.0,4,2,36004.51
1492,Volkswagen,Company,2022,5,White,Petrol,,Automatic,1498,150,0.0,5,5,32234.76
1493,BMW,Company,2022,5,Gray,Petrol,,,1998,245,0.0,5,5,63860.05
1494,Chevrolet,Private person,2011,278000,Black,,,,3600,,,4,2,11738.15
1495,Hyundai,Private person,2008,265000,Silver,Diesel,,,1991,,,5,5,5169.3
1496,Mercedes-Benz,Private person,2020,75000,Silver,Hybrid,,,1950,,,5,5,26636.57
1497,BMW,Company,2022,5,White,Hybrid,,Automatic,1998,292,0.0,5,5,70090.29
1498,Volvo,Private person,2013,238000,Else,Diesel,7,,1984,136,,5,5,13069.98
1499,BMW,Company,2022,1,Gray,Diesel,,,2993,340,0.0,4,2,87878.1
1500,Audi,Private person,2018,199678,Gray,Diesel,"4,80",Manual,1968,150,0.0,5,5,16455.98
1501,BMW,Private person,2014,273500,Else,Diesel,"6,10",Automatic,1995,184,,5,5,17832.96
1502,Hyundai,Company,2018,54400,Blue,Petrol,,Manual,998,120,0.0,5,,15327.31
1503,Peugeot,Private person,2018,71000,Blue,Diesel,"5,10",,1997,,,5,5,21444.7
1504,Audi,Private person,2018,199678,Gray,Diesel,"4,80",Manual,1968,150,0.0,5,5,16455.98
1505,BMW,Private person,2014,273500,Else,Diesel,"6,10",Automatic,1995,184,,5,5,17832.96
1506,Hyundai,Company,2018,54400,Blue,Petrol,,Manual,998,120,0.0,5,,15327.31
1507,Peugeot,Private person,2018,71000,Blue,Diesel,"5,10",,1997,,,5,5,21444.7
1508,BMW,Private person,2021,6900,Black,Petrol,,Automatic,2993,510,0.0,4,,104083.75
1509,BMW,Private person,2008,242713,Black,Diesel,"9,90",,2993,,,5,5,8781.04
1510,Volkswagen,Company,2022,5,Black,Petrol,,Automatic,1498,150,0.0,5,5,34943.57
1511,BMW,Company,2022,1,White,Petrol,"9,50",Automatic,2998,333,0.0,5,5,99142.21
1512,Skoda,Company,2019,137000,Gray,Diesel,,Automatic,1968,150,,5,5,27065.46
1513,Mercedes-Benz,Private person,2017,70000,Gray,Petrol,,Automatic,1595,156,0.0,5,4,25169.3
1514,Volkswagen,Company,2017,138000,White,Diesel,"6,30",Manual,1968,102,,2,4,13069.98
1515,Skoda,Company,2022,5,Else,Petrol,,Automatic,1984,190,0.0,5,5,43069.98
1516,Porsche,Company,2020,2090,Silver,Petrol,,Manual,3995,420,0.0,2,2,119616.25
1517,Skoda,Company,2021,37000,Silver,Petrol,,Manual,999,110,,5,5,20293.45
1518,Volkswagen,Company,2022,5,Black,Petrol,,Automatic,1984,190,0.0,5,5,49796.84
1519,BMW,Private person,2006,290000,Silver,Diesel,11,,2993,218,,5,5,4266.37
1520,Toyota,Company,2018,174280,Silver,Diesel,,Manual,1598,112,,5,5,14650.11
1521,Porsche,Company,2020,38149,Black,Petrol,,Automatic,2894,380,0.0,5,5,90270.88
1522,Hyundai,Company,2013,200000,Gray,Diesel,,Manual,1685,136,0.0,5,5,8329.57
1523,Mitsubishi,Private person,2004,181500,Gray,Petrol,"11,80",,1997,135,0.0,5,5,2618.51
1524,Ford,Private person,2006,317000,Green,Diesel,,,1997,136,0.0,5,5,1557.56
1525,SsangYong,Company,2022,11,Gray,Petrol,,Manual,1497,163,0.0,5,5,19726.86
1526,Opel,Company,2018,128150,Black,Petrol,,Manual,1199,110,0.0,5,5,15234.76
1527,Renault,Company,2021,18416,Red,Petrol,,Automatic,1332,140,0.0,5,,28871.33
1528,Volkswagen,Company,2022,6,Black,Petrol,,Automatic,1984,300,0.0,5,5,55237.02
1529,Skoda,Company,2019,132000,Black,Diesel,,Automatic,1968,150,,5,5,27065.46
1530,Porsche,Private person,2015,139500,Black,,11,,2997,,,,5,30474.04
1531,Kia,Private person,2021,9500,White,Petrol,,Manual,1591,132,0.0,5,5,22550.79
1532,Skoda,Company,2016,115737,Brown,Diesel,,Manual,1968,190,0.0,5,5,20293.45
1533,Volkswagen,Company,2023,5,White,Petrol,,Automatic,1498,150,0.0,5,5,34018.06
1534,Skoda,Company,2016,149000,Silver,Petrol,6,Manual,1197,90,,5,5,8555.3
1535,Mercedes-Benz,Private person,2013,188790,Gray,Diesel,4,Manual,1461,109,,5,5,10835.21
1536,Volkswagen,Company,2023,5,White,Petrol,,Automatic,1498,150,0.0,5,5,34018.06
1537,Skoda,Company,2016,149000,Silver,Petrol,6,Manual,1197,90,,5,5,8555.3
1538,Mercedes-Benz,Private person,2013,188790,Gray,Diesel,4,Manual,1461,109,,5,5,10835.21
1539,Opel,Private person,2011,198000,Blue,Diesel,6,Manual,1956,160,0.0,5,5,5643.12
1540,Citroën,Company,2022,5,Gray,Petrol,,Manual,1199,83,0.0,5,5,17358.92
1541,Nissan,Company,2022,1,Gray,Hybrid,,Automatic,1598,143,0.0,5,5,29571.11
1542,Hyundai,Private person,2011,106000,Black,Petrol,7,Manual,1396,90,0.0,5,5,6975.17
1543,Kia,Company,2021,31600,Black,Petrol,,Automatic,1482,160,0.0,5,5,23679.46
1544,Kia,Company,2021,22700,Else,Petrol,,Automatic,998,120,0.0,5,5,21647.86
1545,Skoda,Company,2022,5,Red,Electric,,Automatic,,204,0.0,5,5,69661.4
1546,Audi,Private person,2018,88000,Black,Petrol,,Automatic,1498,150,0.0,5,4,19255.08
1547,Toyota,Private person,2009,108000,Red,Petrol,"6,20",Manual,1329,101,0.0,5,5,4898.42
1548,Ford,Company,2022,1,Gray,Petrol,,Automatic,999,155,0.0,5,5,27855.53
1549,Ford,Company,2022,1,Gray,Petrol,,Automatic,999,155,0.0,5,5,27855.53
1550,Volkswagen,Private person,2016,259800,Gray,Diesel,,,1968,150,,7,5,10586.91
1551,Audi,Private person,2006,196600,Else,Diesel,7,,1896,115,,5,5,3250.56
1552,Volkswagen,Private person,2011,264200,Brown,Diesel,"6,80",Manual,1968,140,0.0,7,5,9458.24
1553,Skoda,Company,2022,5,White,Petrol,,Manual,999,110,0.0,5,5,24898.42
1554,Skoda,Private person,2010,224000,Gray,Diesel,7,Manual,1968,140,0.0,5,5,5395.03
1555,Renault,Private person,2017,186549,Gray,Diesel,5,,1598,,0.0,7,5,15778.78
1556,Audi,Private person,2015,225000,Black,Diesel,5,Manual,1968,184,0.0,5,4,14559.82
1557,Fiat,Private person,2009,160000,Else,Petrol,7,,1242,,,5,5,2911.96
1558,Volvo,Company,2017,108500,White,Diesel,,Automatic,2400,190,0.0,5,5,27742.66
1559,Volvo,Company,2022,8160,Else,Petrol,,Automatic,1477,163,0.0,5,5,37223.48
1560,Volvo,Company,2017,80900,White,Petrol,,Automatic,1969,245,0.0,5,5,28871.33
1561,Opel,Private person,2017,59970,Else,Diesel,5,Manual,1598,136,0.0,5,5,13942.66
1562,Volvo,Private person,2010,237070,Black,Diesel,10,Automatic,2400,215,0.0,5,5,12641.08
1563,Chevrolet,Private person,2009,75337,Silver,Petrol,,,796,52,0.0,5,4,2257.34
1564,Mercedes-Benz,Private person,2015,126200,White,Petrol,"8,20",,1991,245,,4,2,27088.04
1565,Suzuki,Private person,2020,23000,Red,Petrol,6,,998,111,,5,5,14650.11
1566,Renault,Company,2022,1,Red,Petrol+LPG,,Manual,999,100,0.0,5,5,20022.57
1567,Honda,Private person,2007,164000,Red,Petrol,7,Manual,1339,83,,5,5,4040.63
1568,Jeep,Private person,2018,60350,Gray,Diesel,8,Automatic,2987,250,0.0,5,5,46952.6
1569,Skoda,Company,2021,60000,White,Petrol,,Manual,999,110,,5,5,19164.79
1570,Kia,Private person,2010,176000,Black,Petrol,8,Manual,1998,163,0.0,5,5,11038.37
1571,Opel,Private person,2007,213200,Black,Petrol,9,Manual,1598,115,,5,2,3363.43
1572,Audi,Company,2021,8145,Gray,Petrol,,Automatic,1984,310,0.0,5,5,49638.83
1573,Volkswagen,Private person,2008,289300,Silver,Diesel,6,Automatic,1896,105,,5,5,3814.9
1574,Renault,Company,2012,130271,Black,Petrol,"7,40",Manual,1149,100,0.0,5,5,4717.83
1575,BMW,Private person,2006,190852,Gray,,,,2497,,,,5,6523.7
1576,Volkswagen,Company,2023,1,Red,Electric,,Automatic,,204,0.0,,,44446.95
1577,BMW,Private person,2005,260000,Blue,Petrol,6,Manual,1995,150,0.0,5,5,4173.81
1578,Volkswagen,Company,2023,1,White,Electric,,Automatic,,299,0.0,,,66772.01
1579,Volkswagen,Company,2022,1,Blue,Petrol,,Manual,1000,110,0.0,,,23972.91
1580,BMW,Private person,2014,155000,Black,Petrol,,Automatic,4395,560,0.0,4,2,44920.99
1581,Volkswagen,Company,2022,1,White,Petrol,,Automatic,1500,150,0.0,,,27246.05
1582,Volkswagen,Company,2022,1,Black,Petrol,,,2000,320,0.0,,,72844.24
1583,Volkswagen,Company,2022,1,White,Petrol,,Manual,1000,110,0.0,,,25079.01
1584,Peugeot,Company,2016,211891,Gray,Diesel,,Automatic,1997,180,0.0,5,5,11941.31
1585,Audi,Private person,2017,165000,Gray,Diesel,5,Automatic,1968,190,0.0,5,5,30474.04
1586,Cadillac,Company,2016,153000,Black,Petrol,,Automatic,1998,276,,5,4,25507.9
1587,Skoda,Private person,2017,147000,White,Petrol,7,Automatic,1984,220,0.0,5,5,22347.63
1588,Kia,Private person,2010,154829,Gray,Petrol,10,Manual,1975,142,0.0,5,5,6410.84
1589,Fiat,Private person,2013,140000,Gray,Diesel,"5,60",Manual,1598,120,,5,5,4695.26
1590,Volkswagen,Company,2023,1,White,Electric,,Automatic,,204,0.0,,,40293.45
1591,Ford,Private person,2008,253000,Silver,,,,1753,,,5,5,2889.39
1592,Seat,Company,2016,156000,Silver,Petrol+LPG,6,Manual,999,75,0.0,5,5,6749.44
1593,Mercedes-Benz,Company,2016,140000,White,Diesel,,Automatic,2143,170,0.0,5,5,25485.33
1594,Seat,Private person,2017,98000,Black,Petrol,6,Manual,1395,125,0.0,5,5,15778.78
1595,Toyota,Private person,2011,300000,Black,Petrol+LPG,6,,1329,99,,5,5,6072.23
1596,Volkswagen,Private person,2021,51000,Gray,Petrol,,,1498,150,,5,5,28216.7
1597,Peugeot,Private person,2018,60000,Gray,Diesel,"4,30",,1560,,,5,5,12979.68
1598,Volvo,Private person,2006,321000,Else,,,,2400,,,,4,4176.07
1599,Seat,Company,2019,86850,Gray,Petrol,6,Automatic,999,115,0.0,5,5,15778.78
1600,Toyota,Company,2022,1,Silver,Petrol,,Automatic,1987,173,0.0,5,5,38419.86
1601,Audi,Private person,2016,238190,Gray,Diesel,"5,40",,1968,190,,5,5,18013.54
1602,Suzuki,Private person,1993,83800,Else,Petrol,,,1590,,,2,3,2911.96
1603,BMW,Private person,2021,17300,Else,Diesel,,Automatic,1995,190,0.0,5,5,62979.68
1604,Volkswagen,Private person,2008,105683,Claret,Petrol,8,,1390,80,0.0,5,5,3273.14
1605,Mercedes-Benz,Private person,2015,120400,White,Petrol,7,,1991,184,0.0,5,4,22550.79
1606,Peugeot,Private person,2019,25000,Blue,Petrol,7,,1199,130,,5,5,18713.32
1607,Peugeot,Private person,2012,284000,Gray,Diesel,6,Manual,1997,140,0.0,5,5,7110.61
1608,BMW,Private person,2022,3000,Else,Diesel,,Automatic,1995,231,0.0,5,5,78984.2
1609,Suzuki,Private person,1990,65000,Blue,Petrol,10,,1298,70,0.0,,3,4695.26
1610,Ford,Private person,2014,175335,White,Diesel,6,Manual,1997,150,0.0,5,5,12053.95
1611,Audi,Private person,2015,145000,Black,Petrol,,,1984,224,,5,4,16004.51
1612,Renault,Company,2019,213000,Green,Diesel,,Manual,1461,90,,5,5,11286.46
1613,Audi,Private person,2017,64000,White,Petrol,7,,1984,252,,5,5,23576.52
1614,Jaguar,Private person,2004,170600,Black,Diesel,,,2000,130,0.0,5,5,2234.76
1615,Skoda,Company,2022,8,White,Diesel,,Automatic,1968,150,0.0,5,5,34740.41
1616,BMW,Private person,2015,225600,Gray,Diesel,7,,2993,,,5,5,40564.33
1617,Volkswagen,Private person,2011,247000,Black,Diesel,7,Automatic,1968,140,0.0,5,5,8329.57
1618,Audi,Company,2022,5,Blue,Petrol,5,Automatic,1498,150,0.0,5,5,33521.44
1619,Audi,Private person,2016,199999,Red,Petrol,5,,999,95,0.0,4,5,12641.08
1620,BMW,Private person,2020,108900,Black,Diesel,,Automatic,2993,265,0.0,5,4,50993.0
1621,Skoda,Company,2019,17000,Black,Petrol,6,Manual,1498,150,,5,5,20293.45
1622,Mercedes-Benz,Company,2023,1,Red,Diesel,,Automatic,1950,237,0.0,7,4,94374.04
1623,Ford,Private person,2015,195000,Gray,Diesel,5,Manual,1997,150,0.0,5,5,11918.74
1624,Nissan,Private person,2017,140000,White,Diesel,4,Manual,1461,110,0.0,,5,11218.96
1625,Nissan,Private person,2019,60000,Gray,Petrol,,Manual,1332,160,0.0,5,5,18733.63
1626,Volkswagen,Private person,2022,6500,Green,Petrol,,Automatic,1498,150,0.0,,,31376.98
1627,Audi,Private person,2018,71000,Gray,Petrol,6,,1395,150,0.0,5,4,20090.29
1628,Toyota,Private person,2014,62700,Black,Petrol,5,,998,,0.0,5,5,7878.1
1629,Renault,Private person,2016,145547,Else,Diesel,,,1598,,,5,4,13972.91
1630,Hyundai,Private person,2014,147888,Gray,Petrol,"6,60",,998,,0.0,,5,6659.14
1631,BMW,Private person,2019,74000,White,Petrol,,Automatic,1998,252,0.0,5,5,50722.35
1632,Toyota,Private person,2014,62700,Black,Petrol,5,,998,,0.0,5,5,7878.1
1633,Hyundai,Private person,2014,147888,Gray,Petrol,"6,60",,998,,0.0,,5,6659.14
1634,Renault,Private person,2016,145547,Else,Diesel,,,1598,,,5,4,13972.91
1635,BMW,Private person,2019,74000,White,Petrol,,Automatic,1998,252,0.0,5,5,50722.35
1636,Volvo,Private person,2015,155375,Black,Diesel,,Manual,1969,150,0.0,5,5,19367.95
1637,Opel,Private person,2010,205200,Gray,Petrol,7,Manual,1398,100,0.0,5,5,5101.58
1638,Seat,Private person,2006,248100,Gray,Diesel,6,Automatic,1968,140,0.0,5,5,3137.7
1639,Volvo,Private person,2016,102000,Gray,,4,,1969,,,5,5,7200.9
1640,Peugeot,Private person,2019,37300,Gray,Petrol,6,,1199,,,7,5,9413.09
1641,Fiat,Private person,2011,167000,Gray,Petrol,"7,90",Manual,1586,120,0.0,5,5,6659.14
1642,Peugeot,Company,2018,129000,Else,Diesel,,Manual,1499,130,0.0,5,5,18690.74
1643,Opel,Private person,2016,141000,Else,Diesel,,,1598,136,0.0,5,5,10812.64
1644,Toyota,Private person,2014,172000,Gray,,"3,60",,1798,,,,5,7629.8
1645,Volvo,Private person,2015,48800,Black,Petrol,10,,1969,320,,7,5,35869.07
1646,Seat,Private person,2009,173000,Green,Diesel,7,Manual,1968,140,0.0,5,5,5643.34
1647,Audi,Company,2023,10,Black,Petrol,,Automatic,1984,150,0.0,5,4,37562.08
1648,Skoda,Private person,2008,230000,Black,,,,1198,,,5,5,3611.74
1649,Skoda,Private person,2009,196000,Red,Petrol,8,Manual,1390,122,,5,5,4627.54
1650,Audi,Company,2022,5000,Black,Electric,,Automatic,,476,0.0,5,4,130902.93
1651,Audi,Company,2021,5000,Gray,Diesel,,Automatic,2967,341,0.0,5,5,81241.53
1652,Jeep,Private person,2018,71000,Blue,Petrol,14,,3604,286,,5,5,31196.39
1653,Honda,Company,2017,35116,Else,Petrol,,,1498,,0.0,5,5,18487.58
1654,Mazda,Private person,2019,65000,Black,Petrol,,Manual,1998,165,0.0,5,5,24379.23
1655,Renault,Private person,2012,161200,Brown,Petrol,"9,40",Manual,1598,110,0.0,5,5,7426.64
1656,Ford,Private person,2013,78200,Else,Petrol,"5,40",Manual,998,101,,5,5,6501.13
1657,Audi,Company,2021,13017,Black,Petrol,,Automatic,1984,265,0.0,5,5,71309.26
1658,Renault,Private person,2013,150800,Silver,Petrol,"9,40",Manual,1598,110,0.0,5,5,8329.57
1659,Infiniti,Private person,2014,140000,Gray,Diesel,10,Automatic,2993,238,,5,5,21444.47
1660,BMW,Private person,2007,186000,Silver,Diesel,,,1995,150,0.0,5,5,7878.1
1661,Porsche,Private person,2014,57000,White,Petrol,13,Automatic,3800,560,0.0,4,2,128645.6
1662,Skoda,Company,2023,1,Gray,Petrol,,Automatic,1498,150,0.0,5,5,35139.95
1663,Kia,Private person,2022,6000,Blue,Electric,,Automatic,,204,0.0,5,5,43340.86
1664,Audi,Private person,2012,243206,Gray,,8,,1968,,,5,5,15011.29
1665,Audi,Private person,2009,202500,White,,11,,1984,,,5,5,13295.71
1666,Chevrolet,Private person,2011,157000,Silver,Petrol,6,,1598,,0.0,,4,5620.77
1667,Mercedes-Benz,Private person,2015,80000,Else,Diesel,5,Automatic,2143,170,0.0,5,5,31580.14
1668,Seat,Company,2009,319200,Silver,Diesel,8,Manual,1968,170,0.0,5,5,3589.16
