,Make,Seller,YearOfProd,Mileage (km),Color,Fuel,FuelCinCity,Gearbox,EngineVol (cm3),Horsepower,Post-accident,Seats,Doors,Price
151,AlfaRomeo,Company,2023,1,Black,Petrol,,Automatic,1995,280,0.0,5,5,64221.22
152,Peugeot,Private person,2012,88000,Silver,Diesel,5,,1560,92,0.0,5,5,7652.37
153,BMW,Company,2019,97000,Black,Diesel,,Automatic,2993,265,0.0,5,5,73855.53
154,Porsche,Company,2022,1,Else,Petrol,,Automatic,1984,265,0.0,5,5,70248.31
155,Skoda,Company,2019,136000,Gray,Diesel,,Automatic,1968,190,0.0,5,5,30857.79
156,Skoda,Company,2023,1,Silver,Petrol,,Automatic,1498,150,0.0,5,5,32528.22
157,BMW,Company,2005,318000,Gray,Petrol,12,Manual,2497,218,0.0,5,5,4176.07
158,Hyundai,Private person,2010,174300,Black,Diesel,6,,1685,115,0.0,5,5,8781.04
159,Skoda,Company,2022,1,Gray,Petrol,,Automatic,1498,150,0.0,5,5,36171.56
160,Audi,Company,2016,168000,Brown,Diesel,6,Automatic,2967,272,0.0,5,5,42663.66
161,BMW,Private person,2019,64000,Else,Petrol,,,2998,340,,5,4,40406.32
162,Porsche,Company,2022,1,White,Petrol,,Automatic,2995,340,0.0,5,5,108735.89
163,Hyundai,Private person,2018,58000,Else,Petrol,,Automatic,1591,177,0.0,5,5,25544.02
164,Porsche,Company,2022,1,Blue,Petrol,,Automatic,2995,340,0.0,5,5,111151.24
165,Citroën,Private person,2010,185000,Black,Diesel,7,Manual,1997,140,0.0,5,5,6297.97
166,Porsche,Company,2021,20000,Red,Petrol,,Automatic,1984,265,0.0,5,5,64130.93
167,Nissan,Company,2015,30000,Silver,Petrol,6,Manual,1198,80,0.0,5,5,8239.28
168,Porsche,Company,2022,8596,Gray,Petrol,,Automatic,1984,265,0.0,5,5,69954.85
169,Skoda,Company,2023,1,White,Petrol,6,Manual,999,95,0.0,5,5,18668.17
170,Dodge,Private person,2011,268000,Silver,Diesel,"7,90",Manual,1968,140,0.0,5,5,4853.27
171,Jaguar,Company,2018,77047,Black,Petrol,12,Automatic,2995,381,,5,5,41512.42
172,Volkswagen,Company,2023,1,Black,Petrol,,Automatic,1498,150,0.0,5,5,43769.75
173,Volkswagen,Company,2022,8,Silver,Petrol,,Automatic,1498,150,0.0,5,5,36094.81
174,Volkswagen,Company,2022,1,Silver,Petrol,,Automatic,1984,190,0.0,5,5,44672.69
175,Volkswagen,Company,2022,8,White,Petrol,,Automatic,1968,320,0.0,5,5,65440.18
176,Kia,Private person,2017,90000,White,Petrol,5,Manual,1248,84,0.0,5,5,9909.71
177,Volvo,Company,2022,5,Black,Petrol,,,1477,129,0.0,5,5,35033.86
178,Volvo,Company,2022,19000,Silver,Petrol,,Automatic,1969,250,0.0,5,5,56422.12
179,Volvo,Company,2020,20860,White,Diesel,5,,1969,190,,5,5,41738.15
180,Kia,Company,2022,10,White,Petrol,,Manual,1482,160,0.0,5,5,21647.86
181,Renault,Company,2018,120720,Black,Diesel,,Manual,1461,90,,5,5,11038.37
182,Ford,Company,2014,209000,Black,Diesel,,Manual,1997,140,0.0,5,5,8464.79
183,Mitsubishi,Company,2011,164000,Gray,Petrol,,Manual,1590,117,0.0,5,5,9683.97
184,BMW,Company,2022,1,White,Diesel,,Automatic,1995,231,0.0,5,5,77742.66
185,Citroën,Private person,2004,148090,Gray,Petrol,,,1360,75,,5,5,2167.04
186,Seat,Private person,2006,179650,Black,Petrol,,,1390,75,,5,3,2234.76
187,Mercedes-Benz,Company,2022,2,Black,Petrol,11,Automatic,2999,435,0.0,4,2,139184.42
188,Infiniti,Private person,2015,268000,Else,Diesel,,Automatic,2993,238,0.0,5,5,20293.45
189,BMW,Private person,2014,169000,Gray,Diesel,6,,1995,143,0.0,5,5,12189.39
190,Volkswagen,Company,2023,1,Blue,Electric,,Automatic,,204,0.0,,,43115.12
191,Volkswagen,Company,2023,1,Silver,Petrol,,Automatic,2000,190,0.0,,,43927.77
192,Volkswagen,Company,2022,1,Blue,Petrol,,Manual,1000,110,0.0,,,26546.28
193,Volkswagen,Company,2022,1,White,Petrol,,Manual,1000,110,0.0,,,25496.61
194,Volkswagen,Company,2022,1,Black,Petrol,,Automatic,999,110,0.0,5,5,26704.29
195,Audi,Private person,2014,210000,Gray,Petrol,,,1996,,,5,5,16930.02
196,Volvo,Private person,2014,85000,Black,Diesel,5,Automatic,1969,181,0.0,5,4,14687.81
197,Renault,Private person,2007,225000,Silver,Petrol+LPG,10,Manual,1997,140,0.0,5,5,4401.81
198,Ford,Company,2014,177000,Silver,Diesel,7,Automatic,1997,163,0.0,5,5,14311.51
199,Audi,Private person,2005,323600,Else,Diesel,11,,2967,224,0.0,5,5,5846.5
200,Toyota,Private person,2006,349000,Silver,Hybrid,5,,1497,77,,5,5,6072.23
201,Ford,Company,2011,285000,Else,Diesel,,Manual,1997,140,0.0,7,5,7652.37
202,Mercedes-Benz,Company,2020,149000,Yellow,Diesel,"9,40",Manual,2143,143,0.0,3,4,30236.34
203,Jeep,Private person,2019,109000,Black,Petrol,12,,1994,,,5,5,20744.92
204,Toyota,Private person,2020,64300,White,,5,,1496,,,5,5,13882.62
205,Volkswagen,Private person,2007,90300,Black,Petrol,8,Manual,1390,122,0.0,5,4,4492.1
206,Audi,Company,2011,199000,White,Diesel,,Automatic,1968,170,0.0,5,5,16681.72
207,Honda,Company,2015,93000,White,Petrol,,Manual,1997,155,0.0,5,5,21422.12
208,Maserati,Private person,2014,67500,White,Petrol,"14,10",Automatic,2979,410,,5,4,37697.52
209,BMW,Private person,2012,170000,Black,Diesel,5,,1995,143,0.0,5,5,9706.32
210,Volvo,Private person,2016,146823,White,Diesel,6,Automatic,2400,190,0.0,5,5,24717.83
211,Ford,Private person,2014,189100,Blue,,,,1560,,,5,5,6749.44
212,Opel,Company,2016,149000,Gray,Petrol,,Manual,1364,140,0.0,5,5,14650.11
213,Hyundai,Company,2016,132000,Else,Petrol,,Manual,1591,177,0.0,5,5,19164.79
214,Volkswagen,Company,2012,249000,Else,Diesel,6,Automatic,1968,170,0.0,5,5,10135.44
215,Nissan,Company,2018,83000,White,Petrol,"11,20",Manual,1618,163,0.0,5,5,21422.12
216,Audi,Company,2019,58000,Else,Diesel,,Automatic,1968,190,0.0,5,5,40383.75
217,Seat,Private person,2021,14000,Red,Petrol,,Automatic,1498,149,0.0,5,,24534.54
218,Nissan,Private person,2011,214226,Claret,,"5,90",,1461,,,,5,7223.25
219,Toyota,Private person,2017,48410,Black,Hybrid,5,Automatic,2494,155,0.0,5,5,26862.3
220,Subaru,Private person,2009,217000,Black,Diesel,8,Manual,1998,147,0.0,,5,7200.9
221,Opel,Private person,2008,200000,Red,Petrol,"7,70",,1229,80,,5,5,2641.08
222,DRMOTOR,Private person,2007,42298,Black,Diesel,,,2000,90,0.0,5,5,2708.8
223,Ford,Company,2012,174000,Black,Diesel,7,Manual,1997,140,0.0,5,5,10812.64
224,Opel,Private person,2014,240000,Brown,Diesel,5,,1956,140,0.0,5,4,8329.57
225,Ford,Private person,2012,134800,White,Petrol,,,998,125,0.0,5,4,6072.23
226,Peugeot,Private person,2019,79883,Else,Diesel,,,1499,,,5,5,22212.19
227,BMW,Company,2008,210978,Black,Petrol,,Manual,1995,143,0.0,5,5,6297.97
